   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    16880    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/multiarray.py:85(empty_like)
     5626    0.002    0.000    0.002    0.000 {method 'round' of 'numpy.ndarray' objects}
    16878    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/index_tricks.py:671(__iter__)
    14638    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/event.py:108(kind)
     1097    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/extending.py:62(overload)
     5626    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/scipy/signal/windows/_windows.py:32(_truncate)
      728    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
     7322    0.002    0.000    0.024    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:134(__getattr__)
      297    0.002    0.000    0.051    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/context.py:744(load_additional_registries)
       75    0.002    0.000    0.006    0.000 {built-in method _pickle.loads}
     2547    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
     2813    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/linalg/linalg.py:135(_makearray)
     1599    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/typing/context.py:513(_insert_global)
     2500    0.002    0.000    0.007    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:865(sort)
     2083    0.002    0.000    0.025    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/module.py:220(__next__)
    20214    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
   357/46    0.002    0.000    0.010    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/re/_compiler.py:37(_compile)
     2813    0.002    0.000    0.002    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
3149/1373    0.002    0.000    0.012    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/_utils.py:44(__str__)
      158    0.002    0.000    0.055    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/codegen.py:1091(<setcomp>)
     2052    0.002    0.000    0.030    0.000 <frozen abc>:105(__new__)
     2547    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1250    0.002    0.000    0.004    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/lib/type_check.py:25(mintypecode)
2547/1974    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     2205    0.002    0.000    0.008    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/binding/ffi.py:329(close)
     8439    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numpy/core/fromnumeric.py:3176(ndim)
    389/3    0.002    0.000    1.073    0.358 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
      380    0.002    0.000    0.003    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/pathlib.py:56(parse_parts)
      943    0.002    0.000    0.010    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/llvmlite/ir/values.py:544(_to_string)
     2382    0.002    0.000    0.007    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/base.py:368(insert_func_defn)
     1666    0.002    0.000    0.002    0.000 /Users/fcucchietti/miniforge3/envs/ICHOIR/lib/python3.11/site-packages/numba/core/utils.py:485(__setitem__)
5891/5890    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
